# x y stream-function vorticity temperature
# Unflattened from original Fortran order: Do I=1,NQ; Do j=1,NX+2; Do k=1,NY+2
# NQ=3, NX=19, NY=19, total_nodes_x=21, total_nodes_y=21
0.0000000000000000E+00 0.0000000000000000E+00 -5.3701888855922641E-19 3.7299990762238602E+04 -6.2761945575786404E+00
0.0000000000000000E+00 5.0000000000000003E-02 -3.7947076036992660E-19 3.7299990762238602E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000001E-01 4.4045713257223618E-20 1.7206110650121122E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.5000000000000002E-01 1.3552527156068810E-19 9.0081522032456760E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.0000000000000001E-01 7.9621097041904232E-20 5.8033851519302607E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.5000000000000000E-01 2.2192263218062669E-19 4.6144928532444210E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.0000000000000004E-01 4.0488174878755561E-19 4.0007063261304711E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.5000000000000003E-01 -2.2700482986415249E-19 3.3901525535997480E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.0000000000000002E-01 -8.4703294725430034E-20 2.7009898330676228E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.5000000000000001E-01 6.9456701674852628E-20 2.0026070520208809E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.0000000000000000E-01 -6.7423822601442307E-19 1.3445947451519680E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.5000000000000004E-01 1.9295410538452962E-18 7.2673072313442037E+02 1.0000000000000000E+00
0.0000000000000000E+00 6.0000000000000009E-01 -9.8255821881498839E-19 1.0736101901117129E+02 1.0000000000000000E+00
0.0000000000000000E+00 6.5000000000000002E-01 1.3213713977167090E-19 -5.7697311081497571E+02 1.0000000000000000E+00
0.0000000000000000E+00 7.0000000000000007E-01 9.9949887776007440E-20 -1.3646959503695639E+03 1.0000000000000000E+00
0.0000000000000000E+00 7.5000000000000000E-01 -1.6940658945086010E-20 -2.0897850506330678E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.0000000000000004E-01 -5.4718328392627802E-19 -1.8655564427831450E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.5000000000000009E-01 6.0308745844506184E-19 -4.3298723176664782E+02 1.0000000000000000E+00
0.0000000000000000E+00 9.0000000000000002E-01 5.9292306307801024E-20 -5.8218896540447686E+03 1.0000000000000000E+00
0.0000000000000000E+00 9.5000000000000007E-01 -1.0164395367051600E-19 -5.4311165552623614E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000000E+00 1.5246593050577409E-20 -5.4311174932694332E+04 6.9303658627058864E+00
5.0000000000000003E-02 0.0000000000000000E+00 -7.0303734622106928E-19 3.7299990762238602E+04 -1.3552389115157281E+01
5.0000000000000003E-02 5.0000000000000003E-02 1.9062127745492710E+01 -2.8850876298724299E+04 -1.1380496162865130E+01
5.0000000000000003E-02 1.0000000000000001E-01 1.2104159376581070E+01 -5.3622396622045899E+03 -4.8648173059886624E+00
5.0000000000000003E-02 1.5000000000000002E-01 7.3551870659309078E+00 -3.6385597434113839E+02 -2.6101015044299372E+00
5.0000000000000003E-02 2.0000000000000001E-01 5.0366348308218756E+00 4.8115292986379302E+02 -1.5592289559482939E+00
5.0000000000000003E-02 2.5000000000000000E-01 3.9754236557083229E+00 3.1203078286668131E+02 -9.7328663344026856E-01
5.0000000000000003E-02 3.0000000000000004E-01 3.3643099269298760E+00 7.2930931736566663E+01 -5.3837598936535203E-01
5.0000000000000003E-02 3.5000000000000003E-01 2.8214149008154070E+00 -8.9095470458306245E+00 -1.5752444698400839E-01
5.0000000000000003E-02 4.0000000000000002E-01 2.2572830640538051E+00 1.5499526140421590E+01 1.7179483067562851E-01
5.0000000000000003E-02 4.5000000000000001E-01 1.6933878537225091E+00 5.8916623771723849E+01 4.4109017659416039E-01
5.0000000000000003E-02 5.0000000000000000E-01 1.1542908045419300E+00 8.1108358035386189E+01 6.5472715287149541E-01
5.0000000000000003E-02 5.5000000000000004E-01 6.4104388083705122E-01 8.5043821889051884E+01 8.3211578275185527E-01
5.0000000000000003E-02 6.0000000000000009E-01 1.3458396771205250E-01 1.0827947486038811E+02 1.0180337029406370E+00
5.0000000000000003E-02 6.5000000000000002E-01 -3.9136320891897541E-01 2.1467454821688781E+02 1.3051811070791410E+00
5.0000000000000003E-02 7.0000000000000007E-01 -9.4339790386312183E-01 4.6523699894471048E+02 1.8799379432389911E+00
5.0000000000000003E-02 7.5000000000000000E-01 -1.4228023998087140E+00 7.6484444349197611E+02 3.1204934948204230E+00
5.0000000000000003E-02 8.0000000000000004E-01 -1.4911900065242620E+00 1.5225697656628230E+02 5.5769224273459832E+00
5.0000000000000003E-02 8.5000000000000009E-01 -1.5499907712429430E+00 -2.8540032765857900E+03 9.6536303302523585E+00
5.0000000000000003E-02 9.0000000000000002E-01 -6.1933168163581884E+00 -3.2201806081896079E+03 1.6170065720474120E+01
5.0000000000000003E-02 9.5000000000000007E-01 -2.6228568192114700E+01 4.5673769320185187E+04 1.3688065224177359E+01
5.0000000000000003E-02 1.0000000000000000E+00 6.6068569885835426E-20 -5.4311184312765043E+04 1.2860731725411769E+01
1.0000000000000001E-01 0.0000000000000000E+00 2.8799120206646212E-19 -2.1515820102919210E+04 -1.2413021579031071E+01
1.0000000000000001E-01 5.0000000000000003E-02 -7.9828412909787616E+00 2.3872821678466669E+04 -1.0535567646454320E+01
1.0000000000000001E-01 1.0000000000000001E-01 8.5937231398711909E+00 -6.5418810403956768E+03 -4.9032058487240873E+00
1.0000000000000001E-01 1.5000000000000002E-01 1.1370314093358459E+01 -4.2173061838331269E+03 -3.4075079362822840E+00
1.0000000000000001E-01 2.0000000000000001E-01 1.0018810962156451E+01 -2.4881249988932468E+03 -2.5714951483189168E+00
1.0000000000000001E-01 2.5000000000000000E-01 8.2808268454963478E+00 -1.6312931845838621E+03 -1.8907211809997810E+00
1.0000000000000001E-01 3.0000000000000004E-01 6.8427284859709658E+00 -1.2381416707068970E+03 -1.2869825647905020E+00
1.0000000000000001E-01 3.5000000000000003E-01 5.6417927439995594E+00 -1.0063838555124380E+03 -7.4472063798551413E-01
1.0000000000000001E-01 4.0000000000000002E-01 4.5530783181831618E+00 -8.0530965752326210E+02 -2.7438747651319001E-01
1.0000000000000001E-01 4.5000000000000001E-01 3.5092691101132401E+00 -6.0435171502080095E+02 1.1843327429480641E-01
1.0000000000000001E-01 5.0000000000000000E-01 2.4855023847396711E+00 -4.0190124185462139E+02 4.4182960979626690E-01
1.0000000000000001E-01 5.5000000000000004E-01 1.4879103121531110E+00 -1.9560595806323551E+02 7.1928153000616701E-01
1.0000000000000001E-01 6.0000000000000009E-01 5.5935389414855397E-01 1.4273603868403359E+01 1.0013352973925900E+00
1.0000000000000001E-01 6.5000000000000002E-01 -2.1995251298811189E-01 1.8518278449731579E+02 1.3769426049155840E+00
1.0000000000000001E-01 7.0000000000000007E-01 -7.9633347470016391E-01 1.9669942161743290E+02 1.9872510119500411E+00
1.0000000000000001E-01 7.5000000000000000E-01 -1.3445105231321810E+00 -9.0046696294534726E+01 3.0652927355692152E+00
1.0000000000000001E-01 8.0000000000000004E-01 -2.6113244022856539E+00 -4.3601070865511809E+02 4.3758739513627427E+00
1.0000000000000001E-01 8.5000000000000009E-01 -5.6504646661936144E+00 2.5862016933173759E+03 1.5498282982249181E+00
1.0000000000000001E-01 9.0000000000000002E-01 -5.0451600624712762E+00 8.8871425299840121E+03 -5.6252091098934232E+00
1.0000000000000001E-01 9.5000000000000007E-01 1.5463470751323150E+01 -3.6885540788836690E+04 5.2883062649577708E+00
1.0000000000000001E-01 1.0000000000000000E+00 -2.4902768649276430E-19 3.6998945803329967E+04 8.9261447232415012E+00
1.5000000000000002E-01 0.0000000000000000E+00 1.4907779871675691E-19 1.0558755083624631E+03 -2.8680381222637951E+01
1.5000000000000002E-01 5.0000000000000003E-02 9.4839925551549548E-02 -1.8841352021846869E+03 -2.3346857348277290E+01
1.5000000000000002E-01 1.0000000000000001E-01 5.3786271692147984E+00 3.7453916519880249E+02 -7.3462857251953162E+00
1.5000000000000002E-01 1.5000000000000002E-01 9.2768235225274367E+00 -9.9579308668378383E+02 -3.2676393645009330E+00
1.5000000000000002E-01 2.0000000000000001E-01 9.6945448597497741E+00 -9.2570140074883466E+02 -2.2274734993498102E+00
1.5000000000000002E-01 2.5000000000000000E-01 8.6792119032335542E+00 -7.8878340293086251E+02 -1.6759764470032239E+00
1.5000000000000002E-01 3.0000000000000004E-01 7.3514368260186762E+00 -6.1725593659968183E+02 -1.1518940172113030E+00
1.5000000000000002E-01 3.5000000000000003E-01 6.1149602491940538E+00 -5.0793049912755930E+02 -6.6257321902142263E-01
1.5000000000000002E-01 4.0000000000000002E-01 5.0094971312690690E+00 -4.4381644451259251E+02 -2.3897637904092650E-01
1.5000000000000002E-01 4.5000000000000001E-01 3.9593909134314300E+00 -3.7863502378738377E+02 1.1935517164808380E-01
1.5000000000000002E-01 5.0000000000000000E-01 2.9013591463306319E+00 -2.7609900751842588E+02 4.2882667790727452E-01
1.5000000000000002E-01 5.5000000000000004E-01 1.8452937703204220E+00 -1.2870587163150421E+02 7.1366729589884903E-01
1.5000000000000002E-01 6.0000000000000009E-01 8.9270784393268632E-01 2.4723544980037289E+01 1.0129240197910341E+00
1.5000000000000002E-01 6.5000000000000002E-01 1.9239128246024270E-01 8.5420864056893933E+01 1.3867808507312269E+00
1.5000000000000002E-01 7.0000000000000007E-01 -2.2274026446903511E-01 -8.0397524086908206E+01 1.9216166416860760E+00
1.5000000000000002E-01 7.5000000000000000E-01 -7.5609046654372225E-01 -5.1992455654777621E+02 2.7375395683317518E+00
1.5000000000000002E-01 8.0000000000000004E-01 -2.5722012610268621E+00 -5.1668298077850920E+02 3.6465192686017152E+00
1.5000000000000002E-01 8.5000000000000009E-01 -6.4468837264869414E+00 3.6548860865529450E+03 2.8613800071278761E+00
1.5000000000000002E-01 9.0000000000000002E-01 -6.1490332501648410E+00 6.0301207290084321E+03 8.9740783930129524E+00
1.5000000000000002E-01 9.5000000000000007E-01 9.1375653959997449E-01 6.0918846327841402E+03 5.3141452953398172E+01
1.5000000000000002E-01 1.0000000000000000E+00 -3.2187251995663408E-19 -1.9494338479807100E+03 6.7863911140193252E+01
2.0000000000000001E-01 0.0000000000000000E+00 1.3721933745519670E-19 -4.5734457838795106E+03 -1.2944793110766470E+01
2.0000000000000001E-01 5.0000000000000003E-02 -1.7267643218705671E+00 5.0026573187774566E+03 -1.1782100310588580E+01
2.0000000000000001E-01 1.0000000000000001E-01 4.5383872771487832E+00 -1.3150230711477250E+03 -8.2940219100549122E+00
2.0000000000000001E-01 1.5000000000000002E-01 7.9150731773099841E+00 -1.1975979855681660E+03 -3.7937408691146111E+00
2.0000000000000001E-01 2.0000000000000001E-01 8.1957729069489442E+00 -2.2331343472068619E+02 -1.9751463733248420E+00
2.0000000000000001E-01 2.5000000000000000E-01 7.3358795419753742E+00 3.0201475710197339E+01 -1.2982738797640780E+00
2.0000000000000001E-01 3.0000000000000004E-01 6.2225142687056367E+00 9.8167141713697958E+01 -8.1816190244754827E-01
2.0000000000000001E-01 3.5000000000000003E-01 5.2087672361846904E+00 7.2860698638204980E+01 -4.1048517163961118E-01
2.0000000000000001E-01 4.0000000000000002E-01 4.3318332749712907E+00 1.3414072943400500E+01 -6.5995737105693883E-02
2.0000000000000001E-01 4.5000000000000001E-01 3.5064538492378290E+00 -3.0249944265873751E+01 2.2964910150427301E-01
2.0000000000000001E-01 5.0000000000000000E-01 2.6597322884769818E+00 -2.6367095645289290E+01 4.9712860355960381E-01
2.0000000000000001E-01 5.5000000000000004E-01 1.8033464712018410E+00 2.6176830294746431E+01 7.5998679241014000E-01
2.0000000000000001E-01 6.0000000000000009E-01 1.0453830851893600E+00 8.5495239602924386E+01 1.0498416784749840E+00
2.0000000000000001E-01 6.5000000000000002E-01 5.2304317761451335E-01 6.9370087293011736E+01 1.4115928360203689E+00
2.0000000000000001E-01 7.0000000000000007E-01 2.4137689452177330E-01 -1.1865983970575680E+02 1.8986556349133681E+00
2.0000000000000001E-01 7.5000000000000000E-01 -1.4236235695545649E-01 -5.0839060587005599E+02 2.5398184757748532E+00
2.0000000000000001E-01 8.0000000000000004E-01 -1.3325839862424691E+00 -6.5563479106332647E+02 3.2311818652258668E+00
2.0000000000000001E-01 8.5000000000000009E-01 -3.1308767681290108E+00 2.6467245190176982E+02 3.8741364006291961E+00
2.0000000000000001E-01 9.0000000000000002E-01 -1.7628593969788471E+00 3.4880500241826162E+03 3.1306092463135591E+00
2.0000000000000001E-01 9.5000000000000007E-01 9.5703006930827250E+00 -1.4036638371808691E+04 2.0418519767699092E+01
2.0000000000000001E-01 1.0000000000000000E+00 1.2027867851011060E-19 1.8502686520558251E+04 2.6181156608160929E+01
2.5000000000000000E-01 0.0000000000000000E+00 2.6258021364883311E-19 1.1231242104838370E+03 -1.4606305878484680E+01
2.5000000000000000E-01 5.0000000000000003E-02 9.6635917948805405E-01 7.3013540684260946E+01 -1.3125986858984851E+01
2.5000000000000000E-01 1.0000000000000001E-01 4.3078721615365252E+00 -2.5570648444538989E+02 -8.6850298004853581E+00
2.5000000000000000E-01 1.5000000000000002E-01 6.8720920385878541E+00 -8.9862929015631096E+02 -4.2370988044964406E+00
2.5000000000000000E-01 2.0000000000000001E-01 7.0615611569268806E+00 -2.7887375111655359E+02 -2.0477720856549761E+00
2.5000000000000000E-01 2.5000000000000000E-01 6.1465903435529574E+00 1.9120028553343101E+02 -1.1469638907621280E+00
2.5000000000000000E-01 3.0000000000000004E-01 5.1137556844583676E+00 3.0155451249359709E+02 -6.3997956797833921E-01
2.5000000000000000E-01 3.5000000000000003E-01 4.2641857583803429E+00 2.5849645398364532E+02 -2.6540257908673109E-01
2.5000000000000000E-01 4.0000000000000002E-01 3.5827909121123280E+00 1.7753168296797199E+02 3.8900539120973299E-02
2.5000000000000000E-01 4.5000000000000001E-01 2.9672221642371399E+00 1.1238175344548610E+02 3.0144695487817258E-01
2.5000000000000000E-01 5.0000000000000000E-01 2.3436356243190062E+00 8.3546215402864732E+01 5.4523322668994978E-01
2.5000000000000000E-01 5.5000000000000004E-01 1.7159043459554220E+00 8.7479106198561439E+01 7.9380650130921793E-01
2.5000000000000000E-01 6.0000000000000009E-01 1.1613726568567431E+00 9.5446108473525996E+01 1.0772399508500941E+00
2.5000000000000000E-01 6.5000000000000002E-01 7.6498886488953244E-01 5.9541554536600557E+01 1.4360082821173890E+00
2.5000000000000000E-01 7.0000000000000007E-01 5.0074075539771568E-01 -6.2666296742647667E+01 1.9112782819111791E+00
2.5000000000000000E-01 7.5000000000000000E-01 1.3142950840427661E-01 -2.3552128530580180E+02 2.5106410252938050E+00
2.5000000000000000E-01 8.0000000000000004E-01 -6.5459223686491363E-01 -1.7146971527087999E+02 3.2204869947009929E+00
2.5000000000000000E-01 8.5000000000000009E-01 -1.4824527051372689E+00 5.0967201955856763E+02 4.4379553189116248E+00
2.5000000000000000E-01 9.0000000000000002E-01 -6.5446051571902730E-01 2.7758237221087011E+03 8.9514478382042313E+00
2.5000000000000000E-01 9.5000000000000007E-01 4.0387086543769701E+00 -8.0955201861363491E+02 2.8214501913774711E+01
2.5000000000000000E-01 1.0000000000000000E+00 1.6940658945086010E-20 5.2512291388344056E+03 3.4635519938964869E+01
3.0000000000000004E-01 0.0000000000000000E+00 -1.9989977555201490E-19 1.4343760616072479E+03 -1.3391886883892189E+01
3.0000000000000004E-01 5.0000000000000003E-02 1.4668627354368420E+00 6.5171833691572920E+02 -1.2225450542160010E+01
3.0000000000000004E-01 1.0000000000000001E-01 4.3548916134587081E+00 -4.6428989350268063E+02 -8.7261415169634908E+00
3.0000000000000004E-01 1.5000000000000002E-01 6.1733326091270007E+00 -6.9569148013237532E+02 -4.5384070126882321E+00
3.0000000000000004E-01 2.0000000000000001E-01 6.2862560917230876E+00 -3.7076014304376412E+02 -2.2190971887739339E+00
3.0000000000000004E-01 2.5000000000000000E-01 5.4419466832358960E+00 3.8069478463829618E+01 -1.1719875248037110E+00
3.0000000000000004E-01 3.0000000000000004E-01 4.4912234887851099E+00 1.9324526510198041E+02 -6.1411018760699165E-01
3.0000000000000004E-01 3.5000000000000003E-01 3.7399154894383169E+00 1.8811358768417119E+02 -2.3669439225835220E-01
3.0000000000000004E-01 4.0000000000000002E-01 3.1724024869242649E+00 1.3528895506934509E+02 5.9330857091377170E-02
3.0000000000000004E-01 4.5000000000000001E-01 2.6897428411217890E+00 8.8668028787820802E+01 3.1395182617125489E-01
3.0000000000000004E-01 5.0000000000000000E-01 2.2210782968423750E+00 6.4565057135299085E+01 5.5248018133189658E-01
3.0000000000000004E-01 5.5000000000000004E-01 1.7575152957127691E+00 5.9317033913334171E+01 7.9902061077086795E-01
3.0000000000000004E-01 6.0000000000000009E-01 1.3392169406571719E+00 5.5169814531909083E+01 1.0832740649629160E+00
3.0000000000000004E-01 6.5000000000000002E-01 1.0015170940334219E+00 2.8447031320607550E+01 1.4430394505103989E+00
3.0000000000000004E-01 7.0000000000000007E-01 6.9961698711354325E-01 -2.1811338871060290E+01 1.9161593439223370E+00
3.0000000000000004E-01 7.5000000000000000E-01 2.9191536385010841E-01 -1.1646358911376410E+01 2.5259014858955662E+00
