# x y stream-function vorticity temperature
# Unflattened from original Fortran order: Do I=1,NQ; Do j=1,NX+2; Do k=1,NY+2
# NQ=3, NX=19, NY=19, total_nodes_x=21, total_nodes_y=21
0.0000000000000000E+00 0.0000000000000000E+00 4.5062152793928778E-19 3.7292385066849980E+04 -6.2726808084583840E+00
0.0000000000000000E+00 5.0000000000000003E-02 2.9815559743351372E-19 3.7292385066849980E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000001E-01 -9.9949887776007440E-20 1.7209230613192791E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.5000000000000002E-01 2.6766241133235891E-19 9.0177984683024333E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.0000000000000001E-01 4.4553933025576198E-19 5.8201258068731613E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.5000000000000000E-01 -8.8091426514447235E-20 4.6411290192618326E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.0000000000000004E-01 -3.6930636500287490E-19 4.0410518377707890E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.5000000000000003E-01 2.6766241133235891E-19 3.4461717859482728E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.0000000000000002E-01 -3.7269449679189210E-19 2.7677651542295580E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.5000000000000001E-01 -1.0842021724855040E-19 2.0638788184552941E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.0000000000000000E-01 -4.7433845046240819E-20 1.3736286996111551E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.5000000000000004E-01 -3.8285889215894380E-19 6.9464861728525898E+02 1.0000000000000000E+00
0.0000000000000000E+00 6.0000000000000009E-01 3.8794108984246960E-19 -8.7880613759859756E+00 1.0000000000000000E+00
0.0000000000000000E+00 6.5000000000000002E-01 -1.6500201812513771E-18 -8.0128584956163763E+02 1.0000000000000000E+00
0.0000000000000000E+00 7.0000000000000007E-01 2.2700482986415249E-19 -1.7630727488037840E+03 1.0000000000000000E+00
0.0000000000000000E+00 7.5000000000000000E-01 -3.2356658585114268E-19 -2.9876110298637450E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.0000000000000004E-01 2.6596834543785031E-19 -4.5561691631247832E+03 1.0000000000000000E+00
